country,source,title,description,URL
Germany,Frankfuter Allgemeine,Früherer Freiburger Erzbischof Zollitsch gibt Bundesverdienstkreuz zurück,Alt-Erzbischof Robert Zollitsch zieht persönliche Konsequenzen aus der Veröffentlichung des Berichts über sexuellen Missbrauch durch Geistliche im Erzbistum Freiburg. Schriftlich wendet er sich dafür an Bundespräsident Steinmeier.,https://www.faz.net/aktuell/politik/inland/freiburg-alt-erzbischof-robert-zollitsch-gibt-bundesverdienstkreuz-zurueck-18837791.html
Germany,Frankfuter Allgemeine,FDP-Parteitag soll über Stopp des Heizungsgesetzes abstimmen,"Der FDP-Bezirksverband Ostwestfalen-Lippe kämpft gegen den von Wirtschaftsminister Robert Habeck vorlegten Entwurf für den Heizungsaustausch. Er fordert die FDP-Bundestagsabgeordneten auf, sich gegen Verbote zu stellen.",https://www.faz.net/aktuell/politik/inland/fdp-parteitag-soll-ueber-stopp-des-heizungsgesetzes-abstimmen-18837478.html
Germany,Frankfuter Allgemeine,Verkehrsminister Wissing spricht mit der „Letzten Generation“,"Während die „Letzte Generation“ in Berlin ihre Proteste ausweitet, wächst die Kritik an den Klimaaktivisten. Justizminister Buschmann hält die Verkehrsblockaden für überzogen. Nun sucht Verkehrsminister Wissing das Gespräch.",https://www.faz.net/aktuell/politik/inland/blockaden-der-letzten-generation-wissing-will-mit-klimaaktivisten-reden-18837572.html
Germany,Frankfuter Allgemeine,Frau Schaller und die Angst der Hausbesitzer,"Vor zwanzig Jahren wurde die Energieberaterin Christine Schaller noch belächelt. Jetzt, zwischen Ukrainekrieg und Wärmewende, stehen die besorgten Hausbesitzer bei ihr Schlange.",https://www.faz.net/aktuell/politik/inland/energieberatung-gefragt-wie-nie-vor-20-jahren-noch-belaechelt-18836186.html
Germany,Frankfuter Allgemeine,„Hinter den Partnerschaften steht eine größere Strategie“,"Kiel will seine Städtepartnerschaft mit Qingdao ausweiten. An dem Vorhaben gibt es reichlich Kritik. Die China-Forscherin Mareike Ohlberg sagt, Peking nutze Kommunen, um die Bundesregierung unter Druck zu setzen.",https://www.faz.net/aktuell/politik/inland/china-die-strategie-hinter-den-staedtepartnerschaften-18832083.html
Germany,Frankfuter Allgemeine,Patriot-Stationierung in Polen endet womöglich schon im Juni,Nach einem Raketeneinschlag auf polnischem Gebiet verlegte die Bundeswehr Patriot-Systeme in das Nachbarland. Lange sollen sie dort womöglich nicht stehen bleiben. Das Verteidigungsministerium verweist aber auf laufende Gespräche.,https://www.faz.net/aktuell/politik/inland/patriot-stationierung-in-polen-endet-womoeglich-schon-im-juni-18837279.html
Germany,Frankfuter Allgemeine,In den Ländern kämpft die FDP ums Überleben,Nach fünf Niederlagen in Folge schaut die FDP in den Ländern besorgt auf die anstehenden Wahlen. Sie setzt auf Opposition und attackiert die Grünen – auch wenn sie mit denen im Bund regiert.,https://www.faz.net/aktuell/politik/inland/fdp-vor-parteitag-kampf-ums-ueberleben-in-den-bundeslaendern-18836276.html
Germany,Frankfuter Allgemeine,Pistorius will Führung seines Ministeriums bis Ende Mai umbauen,"Für den neuen Stab würden keine Dienstposten geschaffen, teilte das Verteidigungsministerium am Donnerstagabend mit. Im nächsten Schritt sollten mögliche Doppelstrukturen abgebaut werden.",https://www.faz.net/aktuell/politik/inland/pistorius-will-fuehrung-seines-ministeriums-bis-ende-mai-umbauen-18836885.html
Germany,Frankfuter Allgemeine,Zentralrat will Perspektive auf den jüdischen Widerstand stark machen,Der jüdische Blick auf den Aufstand im Warschauer Ghetto darf der Mehrheitsgesellschaft aus Sicht des Zentralrats nicht vorenthalten bleiben.,https://www.faz.net/aktuell/politik/inland/zentralrat-perspektive-auf-juedischen-widerstand-stark-machen-18835751.html
Germany,Frankfuter Allgemeine,So war das doch nicht gemeint,Absoluten Schutz vor Veröffentlichung gibt es nicht. Von unliebsamen Enthüllungen Betroffene können aber sehr wohl Schonräume für sich beanspruchen.,https://www.faz.net/aktuell/politik/inland/der-fall-doepfner-und-andere-so-war-das-doch-nicht-gemeint-18835980.html
Germany,Frankfuter Allgemeine,Warnschuss oder Knieschuss?,"Finanzminister Christian Lindner billigt den Entwurf zum Gebäudeenergiegesetz, nur um ihn gleichzeitig zu kritisieren. Das finden selbst in der FDP manche unglücklich.",https://www.faz.net/aktuell/politik/inland/warnschuss-oder-knieschuss-18836274.html
Germany,Frankfuter Allgemeine,"Lautstarker Protest draußen, ein erstes Abtasten drinnen",Im Streit um ein LNG-Terminal auf Rügen suchen Kanzler Scholz und Wirtschaftsminister Habeck das Gespräch. Kritiker fürchten um die Umwelt und den besonders wichtigen Tourismus.,https://www.faz.net/aktuell/politik/inland/scholz-und-habeck-diskutieren-auf-ruegen-mit-lng-kritikern-18836811.html
Germany,Frankfuter Allgemeine,Warum die Union einen Untersuchungsausschuss will,"CDU und CSU wollen klären, ob es politische Einflussnahme gegeben hat, auf eine Steuerrückzahlung der Warburg Bank zu verzichten. Die SPD verteidigt Kanzler Scholz, der seinerzeit Bürgermeister von Hamburg war.",https://www.faz.net/aktuell/politik/inland/cum-ex-warum-die-union-einen-untersuchungsausschuss-will-18836025.html
Germany,Frankfuter Allgemeine,Das späte Lob der CDU für Angela Merkel,"Auf Wunsch der AfD debattiert der Bundestag über das Großkreuz für die ehemalige Kanzlerin. Nachdem die CDU lange geschwiegen hatte, gibt es plötzlich viele nette Worte.",https://www.faz.net/aktuell/politik/inland/auszeichnung-mit-grosskreuz-cdu-lobt-merkel-doch-noch-18836305.html
