country,source,title,description,URL
Spain,El Pais,Vídeo | El hijo del expresidente Bolsonaro pierde los nervios en el Congreso,El incidente se desató después de que un diputado pusiera bajo tela de juicio la veracidad del apuñalamiento que sufrió el expresidente brasileño Jair Bolsonaro,https://elpais.com/videos/2023-04-20/video-el-hijo-del-expresidente-bolsonaro-pierde-los-nervios-en-el-congreso.html?autoplay=1
Spain,El Pais,Sánchez y Feijóo confrontan sobre Doñana mientras el PSOE y el PP sacan juntos la reforma del ‘sí es sí',"El PP alienta la guerra del agua para desgastar al Gobierno, que cree que Moreno ha cometido un grave error político al tocar la joya de la reserva natural",https://elpais.com/espana/2023-04-20/sanchez-y-feijoo-confrontan-sobre-donana-mientras-el-psoe-y-el-pp-sacan-juntos-la-reforma-del-si-es-si.html
Spain,El Pais,¿Lealtad o supervivencia?: El informe sobre el supuesto acoso laboral del ministro británico de Justicia pone a Sunak contra las cuerdas,Al menos 24 funcionarios han respaldado ocho quejas formales sobre el abuso de poder de Dominic Raab,https://elpais.com/internacional/2023-04-20/lealtad-o-supervivencia-el-informe-sobre-el-supuesto-acoso-laboral-del-ministro-britanico-de-justicia-pone-a-sunak-contra-las-cuerdas.html
Spain,El Pais,La aprobación de la reforma de la ‘ley del solo sí es sí’ ahonda en la división del voto feminista,Los retoques del PSOE a la norma prosperan con el apoyo del PP y tras un duro cruce dialéctico entre los dos partidos del Gobierno,https://elpais.com/espana/2023-04-20/la-aprobacion-de-la-reforma-de-la-ley-del-solo-si-es-si-ahonda-en-la-division-del-voto-feminista.html
Spain,El Pais,Bruselas reitera que el plan de regadíos del PP y Vox en Doñana puede “infringir” las leyes medioambientales europeas,La vicepresidenta Teresa Ribera advierte de que la Comisión “considera radicalmente incompatible con la protección” del parque la proposición que tramita la derecha en el Parlamento andaluz,https://elpais.com/clima-y-medio-ambiente/2023-04-20/bruselas-insiste-en-que-el-plan-de-regadios-del-pp-en-donana-puede-infringir-las-leyes-medioambientales-europeas.html
Spain,El Pais,Así le hemos contado la aprobación de la reforma socialista de la ‘ley del solo sí es sí’ en el Congreso con el voto del PP y el rechazo de Podemos,"La ministra de Igualdad, Irene Montero: “Tendría que haber sido una respuesta unitaria” | La vicepresidenta Yolanda Díaz asiste al pleno para “apoyar” a su grupo parlamentario | El PP reclama “responsabilidades políticas”",https://elpais.com/espana/2023-04-20/el-congreso-debate-la-reforma-de-la-ley-del-solo-si-es-si.html
Spain,El Pais,"Lluvia de sobresueldos en el Ayuntamiento de Valga, feudo histórico del PP gallego",El gobierno local se repartió en los 30 años que lleva el actual alcalde más de 300.000 euros en dietas para las que el ente fiscalizador de Galicia no ve amparo legal. La Fiscalía del Tribunal de Cuentas investiga otros 40.000 euros que cobraron los funcionarios que velan por la legalidad en el consistorio,https://elpais.com/espana/galicia/2023-04-20/lluvia-de-sobresueldos-en-el-ayuntamiento-de-valga-feudo-historico-del-pp-gallego.html
Spain,El Pais,Gabriel Boric cambia el enlace entre La Moneda y el Congreso con la mirada puesta en la política de los acuerdos,"Ana Lya Uriarte, socialista, que sufre una larga baja por enfermedad, es reemplazada en el Ministerio Secretaría General de la Presidencia por Álvaro Elizalde, también socialista y hasta ahora senador",https://elpais.com/chile/2023-04-19/gabriel-boric-cambia-el-enlace-entre-la-moneda-y-el-congreso-con-la-mirada-puesta-en-la-politica-de-los-acuerdos.html
Spain,El Pais,Críticas en Colombia a Verónica Alcocer por acudir al Congreso en defensa de la reforma a la salud,"La primera dama visitó este martes la comisión séptima de la Cámara, en la que se debate el proyecto de ley. Se discute si hubo injerencia indebida",https://elpais.com/america-colombia/2023-04-19/criticas-en-colombia-a-veronica-alcocer-por-acudir-al-congreso-en-defensa-de-la-reforma-a-la-salud.html
Spain,El Pais,Joe Biden invita a Pedro Sánchez a la Casa Blanca,"El presidente viajará a Washington el 12 de mayo, día en que comienza la campaña de las autonómicas",https://elpais.com/espana/2023-04-19/joe-biden-invita-a-pedro-sanchez-a-la-casa-blanca.html
Spain,El Pais,Pedro Sánchez conecta el cambio de España sobre el Sáhara con la menor inmigración irregular desde Marruecos,La derecha y sus socios del bloque progresista afean con dureza al presidente en un debate sobre política internacional que no se haya explicado la razón de ese giro histórico,https://elpais.com/espana/2023-04-19/pedro-sanchez-conecta-el-cambio-de-espana-sobre-el-sahara-con-la-menor-inmigracion-irregular-desde-marruecos.html
Spain,El Pais,El socialista García-Page se lanza a por el electorado de Ciudadanos en Castilla-La Mancha,El actual presidente autonómico ficha a una exdiputada nacional de CS y contará con varios alcaldes y concejales del partido liberal en las listas municipales del 28-M,https://elpais.com/espana/2023-04-19/garcia-page-se-lanza-a-por-el-electorado-de-ciudadanos-en-castilla-la-mancha.html
Spain,El Pais,El Gobierno de Meloni invoca la teoría conspirativa de la “sustitución étnica” para criticar la inmigración,"El ministro de Agricultura y cuñado de la primera ministra, Francesco Lollobrigida, alerta de que si los italianos no tienen hijos, serán sustituidos por migrantes. La líder de la oposición tacha sus palabras de “repugnantes”",https://elpais.com/internacional/2023-04-19/el-gobierno-de-meloni-invoca-la-teoria-conspirativa-de-la-sustitucion-etnica-para-criticar-la-inmigracion.html
